task_name,run_name,dataset_profile,seed,use_pinyin,best_cor_f1,best_step,max_train_steps,run_dir
stage1_confirm,confirm_sighan2015_baseline,sighan2015,42,False,0.43060959792477305,1050,1200,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_confirm\confirm_sighan2015_baseline_seed42_20260219_040942
stage1_confirm,confirm_sighan2015_pinyin,sighan2015,42,True,0.5132075471698113,1200,1200,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_confirm\confirm_sighan2015_pinyin_seed42_20260219_084925
stage1_confirm,confirm_sighan2015_baseline,sighan2015,43,False,0.4335483870967742,900,1200,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_confirm\confirm_sighan2015_baseline_seed43_20260219_132102
stage1_confirm,confirm_sighan2015_pinyin,sighan2015,43,True,0.5257861635220126,1050,1200,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_confirm\confirm_sighan2015_pinyin_seed43_20260219_180537
stage1_confirm,confirm_sighan2015_baseline,sighan2015,44,False,0.4430051813471503,1200,1200,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_confirm\confirm_sighan2015_baseline_seed44_20260219_224807
stage1_confirm,confirm_sighan2015_pinyin,sighan2015,44,True,0.531328320802005,1050,1200,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_confirm\confirm_sighan2015_pinyin_seed44_20260220_044208
stage1_long_final,final_pinyin_long,sighan2015,44,True,0.5541871921182265,2200,2800,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_long_final\final_pinyin_long_seed44_20260220_090941
stage1_screen,screen_baseline,sighan2015,42,False,0.25531914893617025,400,400,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_screen\screen_baseline_seed42_20260215_164555
stage1_screen,screen_pinyin,sighan2015,42,True,0.3444283646888568,400,400,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_screen\screen_pinyin_seed42_20260215_184751
stage1_screen,screen_baseline,sighan2015,43,False,0.2579666160849773,400,400,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_screen\screen_baseline_seed43_20260215_203216
stage1_screen,screen_pinyin,sighan2015,43,True,0.34833091436865016,400,400,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_screen\screen_pinyin_seed43_20260215_220712
stage1_screen,screen_baseline,sighan2015,44,False,0.25382262996941896,400,400,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_screen\screen_baseline_seed44_20260215_235052
stage1_screen,screen_pinyin,sighan2015,44,True,0.3698435277382645,400,400,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage1_screen\screen_pinyin_seed44_20260216_013551
stage2_wang,without_wang,sighan_all,42,True,0.47954866008462615,1650,1800,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage2_wang\without_wang_seed42_20260220_201252
stage2_wang,with_wang,sighan_plus_wang,42,True,0.5389527458492976,1800,1800,D:\Code_Projects\Personal_Projects\csc_project-1\macro_correct\output\text_correction\stage2_wang\with_wang_seed42_20260221_093408
